,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_value,params_delta,params_dropout,params_epochs,params_gamma,params_hidden_size,params_learning_rate,params_num_layers,params_patience,params_step_size,params_threshold,state
25,25,0.13347022235393524,2024-09-30 11:38:20.999606,2024-09-30 11:39:39.511029,0 days 00:01:18.511423,128,0.5,0.0,0.40336853846197357,150,0.4318109173473969,384,0.0036598861984069157,1,10,15,0.5,COMPLETE
26,26,0.4360640048980713,2024-09-30 11:39:39.512047,2024-09-30 11:40:07.201918,0 days 00:00:27.689871,128,0.30000000000000004,0.0,0.3593182191688481,100,0.17761634536550522,512,0.0901584526096903,2,10,20,0.4,COMPLETE
27,27,0.18188200891017914,2024-09-30 11:40:07.210267,2024-09-30 11:43:34.726673,0 days 00:03:27.516406,128,0.1,0.0,0.2704453595372084,150,0.24114924352365807,512,0.00031494553049398523,1,10,15,0.5,COMPLETE
28,28,0.02171730250120163,2024-09-30 11:43:34.733751,2024-09-30 11:45:25.272832,0 days 00:01:50.539081,128,0.5,0.0,0.40928497557118654,100,0.3351683301912045,384,0.0008394831935134873,1,10,20,0.4,COMPLETE
29,29,0.363151490688324,2024-09-30 11:45:25.279863,2024-09-30 11:47:17.853882,0 days 00:01:52.574019,128,0.7000000000000001,0.0,0.45110232822641994,150,0.4608941809082798,128,6.622579793368245e-05,2,10,20,0.5,COMPLETE
30,30,0.2847633361816406,2024-09-30 11:47:17.862009,2024-09-30 11:50:14.784335,0 days 00:02:56.922326,264,0.5,0.0,0.4907791291495667,200,0.32879039960264617,256,0.0008675068037713145,4,10,20,0.30000000000000004,COMPLETE
31,31,0.025402365252375603,2024-09-30 11:50:14.791993,2024-09-30 11:52:05.299973,0 days 00:01:50.507980,128,0.5,0.0,0.41111695682905547,100,0.27712771598759456,384,0.0012147597752968967,1,10,20,0.4,COMPLETE
32,32,0.16512055695056915,2024-09-30 11:52:05.308009,2024-09-30 11:53:55.848877,0 days 00:01:50.540868,128,0.5,0.0,0.4159458170572996,100,0.44440412318478856,384,0.0002582875943238219,1,10,20,0.4,COMPLETE
33,33,0.04771043732762337,2024-09-30 11:53:55.855710,2024-09-30 11:56:12.127651,0 days 00:02:16.271941,128,0.5,0.0,0.43544799318705474,100,0.5584347711956446,384,0.0011359157204037687,2,10,20,0.4,COMPLETE
34,34,0.30191296339035034,2024-09-30 11:56:12.135924,2024-09-30 11:58:20.694641,0 days 00:02:08.558717,512,0.5,0.0,0.4735579985961028,100,0.5627256748202709,256,0.01345443814478002,1,10,20,0.30000000000000004,COMPLETE
35,35,0.045888751745224,2024-09-30 11:58:20.695659,2024-09-30 12:00:03.350660,0 days 00:01:42.655001,128,0.7000000000000001,0.0,0.4417075825861942,100,0.6342788596664739,384,0.0011655755948444997,2,10,20,0.4,COMPLETE
36,36,0.0407395102083683,2024-09-30 12:00:03.358516,2024-09-30 12:01:08.151964,0 days 00:01:04.793448,128,0.7000000000000001,0.0,0.4011927306415793,200,0.7922311076881803,256,0.003278517859759005,1,10,20,0.30000000000000004,COMPLETE
37,37,0.43071576952934265,2024-09-30 12:01:08.166647,2024-09-30 12:01:23.655460,0 days 00:00:15.488813,512,0.9,0.0,0.4005093530724341,200,0.8017774704786248,128,0.011325995298527763,1,15,20,0.1,COMPLETE
38,38,0.43510493636131287,2024-09-30 12:01:23.665760,2024-09-30 12:01:46.633401,0 days 00:00:22.967641,264,0.7000000000000001,0.0,0.2975115039396984,200,0.2762025760912302,256,0.00705402830769492,4,15,20,0.30000000000000004,COMPLETE
39,39,0.08056806027889252,2024-09-30 12:01:46.641474,2024-09-30 12:02:54.665200,0 days 00:01:08.023726,128,0.7000000000000001,0.0,0.4626194224484974,200,0.8897467350775329,256,0.003847352962311178,1,10,15,0.30000000000000004,COMPLETE
40,40,0.43551379442214966,2024-09-30 12:02:54.673371,2024-09-30 12:03:17.938285,0 days 00:00:23.264914,512,0.9,0.0,0.37142518994190155,150,0.3484943086086196,256,0.0027683878311318207,5,10,10,0.2,COMPLETE
41,41,0.013347011059522629,2024-09-30 12:03:17.946048,2024-09-30 12:04:53.223673,0 days 00:01:35.277625,128,0.7000000000000001,0.0,0.39572708519417393,200,0.6758611072632599,384,0.0011648132586830015,1,10,20,0.4,COMPLETE
42,42,0.04302032291889191,2024-09-30 12:04:53.230589,2024-09-30 12:07:03.210021,0 days 00:02:09.979432,128,0.7000000000000001,0.0,0.39436897918832864,200,0.7856274447030444,384,0.006691627886705224,1,10,20,0.4,COMPLETE
43,43,0.1299622654914856,2024-09-30 12:07:03.211447,2024-09-30 12:08:44.003591,0 days 00:01:40.792144,128,0.7000000000000001,0.0,0.3971232603941266,200,0.7615162944450077,384,0.006928633238073897,1,10,20,0.4,COMPLETE
44,44,,2024-09-30 12:08:44.015176,2024-09-30 12:12:19.698201,0 days 00:03:35.683025,128,0.7000000000000001,0.0,0.39101150527494594,200,0.7193831548252434,384,0.024949224549428984,1,10,20,0.30000000000000004,FAIL
45,45,,2024-09-30 12:12:19.708815,2024-09-30 12:15:55.506780,0 days 00:03:35.797965,128,0.7000000000000001,0.0,0.37522000456920584,200,0.7181691606658036,384,0.02417537839369787,1,10,20,0.30000000000000004,FAIL
